"","","","","","","","","","","","","",""
"1","Model","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"127","Honda Ridgeline","3,161","4,649","5,108","4,903","4,931","4,678","4,175","3,910","4,053","4,133","3,894","4,406"
"128","Hyundai Accent","16","12","2","0","0","0","1","0","0","0","0","0"
"129","Hyundai Elantra","8,655","10,371","13,447","13,236","15,605","13,424","11,898","11,262","9,405","9,456","8,813","8,577"
"130","Hyundai Ioniq 5","1,548","2,074","2,114","2,323","2,446","3,136","4,135","3,572","3,958","2,979","2,372","3,261"
"131","Hyundai Ioniq 6","0","0","222","890","971","1,162","1,745","1,663","1,665","1,239","1,386","2,056"
"132","Hyundai Kona","5,826","6,080","7,314","6,831","5,613","6,261","6,123","5,777","6,693","7,927","6,991","7,680"
"133","Hyundai Nexo","16","28","21","16","16","8","34","18","16","23","20","25"
"134","Hyundai Palisade","6,684","6,742","6,176","6,959","7,013","5,873","5,752","6,107","7,551","7,071","9,185","14,396"
"135","Hyundai Santa Cruz","2,614","2,868","3,825","3,590","3,526","3,627","2,903","3,079","3,051","2,555","2,396","2,641"
"136","Hyundai Santa Fe","7,297","7,993","13,236","10,953","10,039","11,624","10,612","11,732","12,676","9,700","13,497","12,215"
"137","Hyundai Sonata","4,873","4,307","5,310","0","4,321","3,834","3,209","3,397","3,401","2,460","2,321","3,222"
"138","Hyundai Tuscon","12,028","14,031","20,111","18,676","18,038","17,707","17,534","16,242","18,813","15,638","21,382","19,424"
"139","Hyundai Veloster","3","1","1","1","0","0","0","0","0","0","0","0"
"140","Hyundai Venue","2,441","2,537","3,625","2,648","2,413","2,695","2,581","2,197","1,732","1,757","1,716","1,667"
"141","Infiniti Q50","449","431","485","618","594","618","586","632","609","388","388","403"
"142","Infiniti Q60","123","118","133","118","113","118","689","74","71","41","41","42"
"143","Infiniti QX50","766","736","828","806","775","806","780","843","812","917","917","954"
"144","Infiniti QX55","449","431","485","434","418","434","455","491","473","443","443","461"
"145","Infiniti QX60","2,348","2,254","2,536","2,610","2,510","2,610","2,421","2,615","2,518","2,289","2,289","2,381"
"146","Infiniti QX80","1,047","1,005","1,131","995","957","995","992","1,071","1,032","1,142","1,142","1,187"
"147","Jaguar E-Pace","83","80","90","17","16","17","27","29","28","26","26","89"
"148","Jaguar F-Pace","530","509","572","387","372","387","333","359","346","481","481","501"
"149","Jaguar F-Type","119","115","129","71","68","71","91","99","95","86","86","89"
"150","Jaguar I-Pace","32","31","35","56","54","56","21","23","22","59","59","61"
"151","Jaguar XF","85","82","92","72","69","72","64","70","67","86","86","89"
"152","Jeep Cherokee","4,346","4,173","4,694","2,028","1,950","2,028","1,217","1,315","1,266","524","524","545"
"153","Jeep Compass","7,635","7,329","8,245","9,483","9,118","9,483","6,496","7,016","6,756","8,096","8,096","8,420"
"154","Jeep Gladiator","4,465","4,287","4,823","4,643","4,465","4,643","4,552","4,916","4,734","4,493","4,493","4,673"
"155","Jeep Grand Cherokee","17,928","17,211","19,363","23,790","22,875","23,790","18,563","20,048","19,305","20,304","20,304","21,116"
"156","Jeep Grand Wagoneer","0","645","726","1,089","1,047","1,089","919","992","956","817","817","849"
"157","Jeep Renegade","1,358","1,304","1,467","1,695","1,630","1,695","2,055","2,220","2,137","3,438","3,438","3,575"
"158","Jeep Wagoneer","1,829","1,756","1,975","2,727","2,622","2,727","2,323","2,509","2,416","2,719","2,719","2,828"
"159","Jeep Wrangler","12,490","11,991","13,490","15,759","15,153","15,759","13,432","14,507","13,970","8,789","9,878","10,273"
"160","Karma GS-6","30","28","32","14","7","7","8","9","8","0","0","0"
"161","Karma Revero","13","13","14","2","1","1","4","4","4","0","0","0"
"162","Kia Carnival","1,662","2,460","3,009","3,029","3,231","4,431","5,285","5,428","4,638","3,507","3,404","3,603"
"163","Kia EV6","1,110","1,294","988","1,241","2,237","1,458","1,937","2,449","2,084","1,542","1,290","1,249"
"164","Kia EV9","0","0","0","0","0","0","0","0","0","0","5","1,113"
"165","Kia Forte","8,190","10,445","11,891","11,182","10,023","10,330","11,004","11,333","10,737","9,393","9,849","9,576"
"166","Kia K5","3,368","5,146","5,774","5,035","5,502","6,072","6,215","6,480","6,002","5,200","5,112","4,866"
"167","Kia Niro","3,713","3,378","2,736","2,999","3,334","3,165","3,112","3,896","2,752","2,408","2,366","2,441"
"168","Kia Rio","2,184","2,385","2,436","2,792","2,216","2,180","2,358","2,546","2,096","2,544","1,785","1,279"
"169","Kia Seltos","3,994","3,744","6,156","5,428","7,449","5,652","5,251","4,649","4,736","4,355","4,214","4,425"
"170","Kia Sorento","6,288","7,012","6,886","6,965","7,764","7,912","8,569","8,147","8,103","6,388","6,872","7,739"
"171","Kia Soul","4,844","5,233","6,907","6,590","5,971","5,202","5,123","4,911","5,290","4,192","3,601","3,399"
"172","Kia Sportage","8,602","10,117","12,965","13,426","12,862","13,917","11,853","12,280","11,562","11,053","11,010","11,133"
"173","Kia Stinger","466","622","958","963","903","642","464","237","117","49","20","11"
"174","Kia Telluride","7,582","9,023","10,585","8,555","10,005","9,534","9,759","9,791","9,147","8,533","8,810","9,441"
"175","Land Rover Defender","1,232","1,183","1,330","1,165","1,120","1,165","2,007","2,168","2,087","2,551","2,551","2,653"
"176","Land Rover Discovery / LR4","127","122","137","95","91","95","271","293","282","297","297","309"
"177","Land Rover Discovery Sport","466","448","504","1,395","205","213","163","176","169","190","190","197"
"178","Land Rover Range Rover","961","922","1,037","1,395","1,341","1,395","1,356","1,465","1,411","1,548","1,548","1,610"
"179","Land Rover Range Rover Evoque","514","493","555","232","223","232","217","234","226","279","279","290"
"180","Land Rover Range Rover Sport","880","845","951","565","544","565","922","996","959","1,386","1,386","1,442"
"181","Land Rover Range Rover Velar","694","666","750","557","536","557","488","527","508","529","529","550"
"182","Lexus ES","2,199","2,712","3,768","3,611","3,554","3,475","3,222","3,006","3,394","3,093","3,210","3,873"
"183","Lexus GX","2,095","1,803","2,472","2,300","2,216","2,438","2,418","2,818","2,932","2,852","3,310","4,256"
"184","Lexus IS","1,661","1,668","2,032","2,061","1,838","1,854","2,042","2,124","1,888","1,685","1,578","2,090"
"185","Lexus LC","114","152","167","132","128","132","162","166","178","149","127","154"
"186","Lexus LS","179","166","234","220","241","174","181","180","153","169","159","181"
"187","Lexus LX","156","444","972","776","605","493","531","566","731","594","506","585"
"188","Lexus NX","5,093","4,662","5,801","5,320","6,237","6,925","5,951","5,565","6,131","6,930","7,332","8,579"
"189","Lexus RC","120","128","132","154","143","165","136","167","169","142","127","169"
"190","Lexus RX","7,957","8,646","9,344","10,869","10,737","9,819","8,815","7,899","9,405","8,591","9,703","12,248"
"191","Lexus RZ","0","0","185","302","349","281","495","456","443","743","1,107","1,025"
"192","Lexus TX","0","0","0","0","0","0","0","0","0","1,384","3,083","3,734"
"193","Lexus UX","868","1,074","1,250","1,426","1,172","1,012","898","848","826","851","738","883"
"194","Lincoln Aviator","1,174","1,821","2,241","1,901","835","241","164","57","1,242","1,911","1,335","2,629"
"195","Lincoln Corsair / MKC","1,617","1,361","1,045","852","2,019","2,737","2,559","2,789","2,504","2,353","2,060","2,488"
"196","Lincoln MKX/Nautilus","1,608","1,361","2,162","2,489","2,076","2,286","2,438","2,123","1,980","1,318","1,620","2,499"
"197","Lincoln Navigator","1,409","1,242","1,519","1,441","1,573","1,674","1,500","1,620","1,407","1,292","1,226","1,646"
"198","Lucid Air","260","249","281","203","195","203","256","277","267","313","313","325"
"199","Mazda 3","1,577","2,846","2,872","2,619","2,468","2,745","2,994","2,611","2,632","2,205","2,504","2,458"
"200","Mazda 6","0","0","1,690","0","0","0","0","0","0","0","0","0"
"201","Mazda CX-30","5,065","8,026","6,779","5,954","6,091","6,612","7,221","6,630","6,924","5,908","6,193","5,672"
"202","Mazda CX-5","9,833","12,282","16,612","14,333","14,100","12,861","12,443","13,649","9,742","7,963","9,556","20,434"
"203","Mazda CX-50","2,589","3,165","4,010","4,305","3,865","3,532","4,234","2,602","3,417","3,168","3,954","5,754"
"204","Mazda CX-9","3,170","3,515","3,151","3,311","3,349","863","60","9","12","7","2","2"
"205","Mazda CX-90","0","20","267","845","2,281","2,291","2,929","2,234","4,701","3,722","5,055","4,776"
"206","Mazda CX-90P","0","0","0","0","0","0","0","1,700","0","0","0","0"
"207","Mazda MX-30","9","2","4","17","18","16","28","6","0","0","0","0"
"208","Mazda MX-5 Miata","724","783","1,083","967","1,090","866","720","733","603","531","451","422"
"209","Mercedes-Benz A-Class","41","40","45","8","7","8","3","3","3","0","0","0"
"210","Mercedes-Benz AMG GT","210","202","227","240","231","240","147","159","153","0","0","0"
"211","Mercedes-Benz C-Class","2,455","2,357","2,652","2,912","2,800","2,912","2,583","2,789","2,686","0","0","0"
"212","Mercedes-Benz CLA-Class","832","799","899","851","819","851","893","964","928","0","0","0"
"213","Mercedes-Benz E / CLS-Class","0","957","1,077","1,293","1,244","1,293","1,547","1,671","1,609","0","0","0"
"214","Mercedes-Benz EQB","506","485","546","630","606","630","1,048","1,132","1,090","0","0","0"
"215","Mercedes-Benz EQE Sedan","0","0","384","568","546","568","311","335","323","0","0","0"
"216","Mercedes-Benz EQE SUV","0","0","0","961","606","961","1,118","1,207","1,163","0","0","0"
"217","Mercedes-Benz EQS SUV","794","762","740","1,039","999","1,039","512","552","532","0","0","0"
"218","Mercedes-Benz EQS-Sedan","685","658","857","829","797","829","353","381","367","0","0","0"
"219","Mercedes-Benz G-Class","882","847","953","1,043","1,003","1,043","620","0","645","0","0","0"
"220","Mercedes-Benz GL/GLS-Class","1,849","1,775","1,997","1,885","1,813","1,885","1,699","670","1,767","0","0","0"
"221","Mercedes-Benz GLA-Class","1,398","1,342","1,510","1,712","1,646","1,712","811","875","843","0","0","0"
"222","Mercedes-Benz GLB","1,415","1,359","1,528","1,219","1,172","1,219","1,638","1,769","1,704","0","0","0"
"223","Mercedes-Benz GLC/GLK-Class","1,200","1,152","1,296","4,812","4,627","4,812","3,687","3,982","3,835","0","0","0"
"224","Mercedes-Benz GLE-Class","5,234","5,024","5,652","4,650","4,471","4,650","4,317","1,835","4,489","0","0","0"
"225","Mercedes-Benz Metris","1,372","1,317","1,481","2,273","2,186","2,273","3,205","3,462","3,333","0","0","0"
"226","Mercedes-Benz S-Class","1,009","969","1,090","1,068","1,027","1,068","1,247","1,347","1,297","0","0","0"
"227","Mercedes-Benz SL-Class","302","290","326","366","352","366","257","278","267","0","0","0"
"228","Mercedes-Benz Sprinter","3,289","3,158","3,553","4,052","3,896","4,052","2,857","3,085","2,971","0","0","0"
"229","Mini Cooper","1,479","1,420","1,597","1,727","1,661","1,727","1,581","1,708","1,645","2,115","2,115","2,199"
"230","Mini Countryman","917","880","990","834","802","834","951","1,027","989","1,414","1,414","1,471"
"231","Mitsubishi Eclipse Cross","517","496","558","932","896","932","1,061","1,146","1,104","750","750","780"
"232","Mitsubishi Mirage","1,099","1,055","1,187","667","641","667","1,291","1,394","1,343","1,275","1,275","1,326"
"233","Mitsubishi Outlander","3,228","3,099","3,487","4,852","4,665","4,852","2,994","3,233","3,113","2,954","2,954","3,072"
"234","Mitsubishi Outlander PHEV","525","504","567","547","526","547","605","653","629","519","519","540"
"235","Mitsubishi Outlander Sport","1,517","1,457","1,639","1,310","1,259","1,310","1,163","1,257","1,210","952","952","990"
"236","Nissan 350Z","0","0","0","0","0","0","0","0","0","0","152","0"
"237","Nissan 370Z","153","147","166","169","162","169","110","119","114","152","0","158"
"238","Nissan Altima","10,800","10,368","11,664","10,268","9,873","10,268","9,381","10,132","9,757","11,684","11,684","12,151"
"239","Nissan Ariya","941","903","1,016","788","758","788","1,444","1,559","1,501","1,238","1,238","1,288"
"240","Nissan Armada","2,392","2,296","2,583","1,997","1,920","1,997","1,453","1,569","1,511","1,140","1,140","1,186"
"241","Nissan Frontier","5,568","5,345","6,013","5,812","5,589","5,812","3,768","4,069","3,919","4,026","4,026","4,187"
"242","Nissan GT-R","47","45","51","25","24","25","30","33","32","26","26","27"
"243","Nissan Kicks","3,892","3,736","4,203","6,068","5,835","6,068","6,517","7,039","6,778","5,488","5,488","5,708"
"244","Nissan Leaf","774","743","836","635","610","635","503","543","523","443","443","461"
"245","Nissan Maxima","726","697","784","1,341","1,289","1,341","799","863","831","323","323","336"
"246","Nissan Murano","4,093","3,930","4,421","2,953","2,839","2,953","1,640","1,772","1,706","1,589","1,589","1,653"
"247","Nissan Pathfinder","7,819","7,506","8,445","6,417","6,170","6,417","4,381","4,732","4,556","5,022","5,022","5,223"
"248","Nissan Rogue","25,164","24,158","27,177","24,057","23,132","24,057","20,303","21,927","21,115","19,858","19,858","20,652"
