"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"1999-12","5.41","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.26","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.46","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","6.39","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.27","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.59","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.37","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.39","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.15","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.50","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.37","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"1999-12","5.36","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.75","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.67","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.65","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.81","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","6.60","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.66","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.79","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.95","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.75","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.80","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.54","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.87","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.76","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-01","5.75","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.77","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.66","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.71","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.78","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","6.48","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.79","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.90","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.72","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.62","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.76","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.51","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.85","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.73","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-02","5.73","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.59","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.48","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.56","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.61","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","6.24","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.62","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.51","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.50","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.43","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.58","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.33","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.65","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.55","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-03","5.58","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.49","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.38","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.42","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.52","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","6.09","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.52","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.42","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.46","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.33","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.46","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.22","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.57","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.45","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-04","5.47","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.66","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.50","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.60","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.68","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","6.18","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.69","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.34","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.59","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.50","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.61","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.38","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.77","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.63","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-05","5.67","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.52","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
